_id,additional_image,adult,availability_date,avlble,brand,business_unit,category,collection,color,condition,created_on,currency,currency_symbol,description,diamond_clarity,diamond_color,diamond_cut,discount_percentage,expiration_date,full_description,gemstone1,gemstone2,gemstone3,gemstone4,gemstone5,gender,goldkaratage,google_product_category,gtin,height,id,identifier_exists,image,item_group_id,jew_size,jewellery_type,last_modified_on,listprice,metal,metal_color,mfr_code,mpn,name,occasion,out_of_shelf,price,price_usd,product,product_type,sale_price_usd,status,sub_account,subcategories,trendrank,unit,updated,url,variants,width
1.97E+37,https://staticimg.titan.co.in/Tanishq/Catalog/502998SBHAAA04_2.jpg,No,NA,0,Tanishq,Jewellery,,,,NEW,1.57E+12,INR,&#8377;,Tanishq 18KT Gold and Diamond Stud Earrings,VS,DIA G H COLGRE,,0,NA,These stud earrings are the perfect finishing touch for your everyday style. Its petite elegance is sure to leave everyone charmed.,Synthetic|2|String||,,,,,Female,18,Apparel & Accessories > Jewelry,,,502998SBHAAA042JA000003,FALSE,https://staticimg.titan.co.in/Tanishq/Catalog/502998SBHAAA04_1.jpg,502998SBHAAA04_P,,Diamond Jewellery with Stones,1.57E+12,4431,Gold,Yellow,502998SBHAAA04,502998SBHAAA042JA000003,18KT Gold and Diamond Stud Earrings,Work,TRUE,4431,61.42,STUD EARRING,Home > Jeweller,61.42,Active,[tanishq],Jeweller,,,FALSE,/product/tanishq-18kt-gold-and-diamond-stud-earrings-502998sbhaaa04,"{u'2JA000003': {u'price': 4431.0, u'listprice': 4431.0}}",
9.45E+37,https://staticimg.titan.co.in/Mia/Catalog/552819GAHAACZ_2.jpg,No,NA,1,MIA,Jewellery,tq-mia-collections,Mia Birthstone Pendants,,NEW,1.57E+12,INR,&#8377;,Mia by Tanishq Scorpio 14KT Rose Gold Pendant and Chain,,,,5,NA,Wrap yourself in an aura of mystery with this elegant piece of jewellery. An exquisite rose pendant on a petite rose gold chain is adorned with bright yellow stones. Pamper the passionate and assertive Scorpio in you with this stylish jewellery.,Cubic Zirconia|2|NA|NA|Round,Cubic Zirconia|1|NA|NA|Round,,,,,14,Jewellery,,310 mm,552819GAHAAACZ2BD000278,FALSE,https://staticimg.titan.co.in/Mia/Catalog/552819GAHAACZ_1.jpg,552819GAHAACZ_P,30.48 cm,Gemstone Jewellery,1.58E+12,16999,Gold,Rose Gold,552819GAHAAACZ,552819GAHAAACZ2BD000278,Mia by Tanishq Scorpio 14KT Rose Gold Pendant and Chain,Daily Wear,FALSE,16149,239.02,Chain + Pendant,Home > Jewellery,227.07,Active,"[tanishq, mia]",Jewellery,1,millimeters,FALSE,/product/chain-pendant-552819gahaacz,"{u'2BD000278': {u'price': 16149.0, u'listprice': 16999.0}, u'2BD000277': {u'price': 16149.0, u'listprice': 16999.0}}",
6.91E+37,https://staticimg.titan.co.in/Tanishq/Catalog/502999FSZAA02_2.jpg,No,NA,1,Tanishq,Jewellery,,Contemporary,,NEW,1.57E+12,INR,&#8377;,Tanishq 18KT Rose Gold and Diamond Finger Ring,SI2,GH,,0,NA,"Cast in rose gold and crafted in mdoern design, this ring is simply stunning. It is an ideal match for those classy occasion outfits.",,,,,,,18,"Apparel & Accessories >	Jewelry > Rings ",,,502999FSZLAA022JA005106,FALSE,https://staticimg.titan.co.in/Tanishq/Catalog/502999FSZAA02_1.jpg,502999FSZAA02_P,16.40 mm,Diamond Jewellery,1.58E+12,10988,Gold,Rose,502999FSZLAA02,502999FSZLAA022JA005106,18KT Rose Gold and Diamond Finger Ring,,FALSE,10988,161.21,FINGER RING,Home > Diamond,161.21,Active,[tanishq],Diamond,,,FALSE,/product/tanishq-18kt-rose-gold-and-diamond-finger-ring-502999fszaa02,"{u'2JA005106': {u'price': 11493.0, u'listprice': 11493.0}, u'2JA005105': {u'price': 10988.0, u'listprice': 10988.0}}",16.4 mm
1.11E+38,https://staticimg.titan.co.in/Tanishq/Catalog/505001SDWAGA09_1.jpg,No,NA,1,Tanishq,Jewellery,,,,NEW,1.57E+12,INR,&#8377;,Tanishq 18KT Gold and Diamond Earrings for Women,I1 I2,DIA   G H   COL GREY,,0,NA,This classic design of these stud earrings makes it the perfect choice for daily wear. It easily complements western as well as ethnic ensembles!,,,,,,Female,18,Apparel & Accessories > Jewelry,,,505001SDWAGA092BD005443,FALSE,https://staticimg.titan.co.in/Tanishq/Catalog/505001SDWAGA09_1.jpg,505001SDWAGA09_P,,Studs,1.58E+12,7688,Gold,Yellow,505001SDWAGA09,505001SDWAGA092BD005443,18KT Gold and Diamond Earrings,Daily Wear,FALSE,7688,107.84,STUD EARRING,Home > Jeweller,107.84,Active,[tanishq],Jeweller,30,,FALSE,/product/tanishq-18kt-gold-and-diamond-earrings-for-women-505001sdwaga09,"{u'2BD005443': {u'price': 7688.0, u'listprice': 7688.0}}",
2.91E+38,https://staticimg.titan.co.in/Tanishq/Catalog/511183NVYAA18_2.jpg,No,NA,1,Tanishq,Jewellery,,,,NEW,1.57E+12,INR,&#8377;,22KT Yellow Gold and Ruby Neckwear in Floral Design,,,,0,NA,Channel the opulence of royalty with this grand 22KT ruby studded neckpiece. Pair it with your most stunning festive wear for a dazzling effect.,"Ruby|70|Prong|NA|Oval,Pear",,,,,Female,22,Apparel & Accessories > Jewelry > Necklaces,,,511183NVYAAA182BA805635,FALSE,https://staticimg.titan.co.in/Tanishq/Catalog/511183NVYAA18_1.jpg,511183NVYAA18_P,,Coloured Stone Jewellery,1.58E+12,200571,Gold,Yellow,511183NVYAAA18,511183NVYAAA182BA805635,Alira Ruby Neckwear,Traditional Wear,FALSE,200571,2813.45,NECKLACE,Home > Jeweller,2813.45,Active,[tanishq],Jeweller,1,,FALSE,/product/22kt-gold-and-ruby-neckwear-in-a-floral-design-511183nvyaa18,"{u'2BA805635': {u'price': 200571.0, u'listprice': 200571.0}}",
2.36E+37,https://staticimg.titan.co.in/Tanishq/Catalog/502999FXJAA22_2.jpg,No,NA,1,Tanishq,Jewellery,,Bestsellers,,NEW,1.57E+12,INR,&#8377;,18KT Gold and Diamond Finger Ring,SI2,I J,,0,NA,"Bring in each day with a sparkle on your finger. This Delicate, charming ring is comfortable enough to pair with your daily wear and classy enough to be a date night accessory.",,,,,,,18,"Apparel & Accessories >	Jewelry > Rings ",,16.4 mm,502999FXJLAA222JA005104,FALSE,https://staticimg.titan.co.in/Tanishq/Catalog/502999FXJAA22_1.jpg,502999FXJAA22_P,16.40 mm,Diamond Jewellery,1.58E+12,20900,Gold,Yellow,502999FXJLAA22,502999FXJLAA222JA005104,Myra Diamond Ring in Wavy Pattern,Engagement,FALSE,20900,293.17,FINGER RING,Home > Jeweller,293.17,Active,[tanishq],Jeweller,,,FALSE,/product/18kt-gold-and-diamond-finger-ring-502999fxjaa22,"{u'2JA005104': {u'price': 20900.0, u'listprice': 20900.0}}",
1.75E+38,https://staticimg.titan.co.in/Tanishq/Catalog/501047SDFABB02_2.jpg,No,NA,1,Tanishq,Jewellery,,,,NEW,1.58E+12,INR,&#8377;,18KT Gold and Diamond Stud Earrings,SI2,G H,,0,NA,These earrings are perfect for those who prefer their accessories petite yet radiant will elegance. This is a great choice for everyday wear.,,,,,,Female,18,Apparel & Accessories > Jewelry,,,501047SDFABB023IA005575,FALSE,https://staticimg.titan.co.in/Tanishq/Catalog/501047SDFABB02_1.jpg,501047SDFABB02_P,,Diamond Jewellery,1.58E+12,21098,Gold,Yellow,501047SDFABB02,501047SDFABB023IA005575,Zelda Stud Earrings,Work Wear,FALSE,21098,302.78,STUD EARRING,Home > Jeweller,302.78,Active,[tanishq],Jeweller,,,FALSE,/product/18kt-gold-and-diamond-stud-earrings-501047sdfabb02,"{u'3IA005575': {u'price': 21585.0, u'listprice': 21585.0}, u'3IA005563': {u'price': 21526.0, u'listprice': 21526.0}, u'3IA005564': {u'price': 21098.0, u'listprice': 21098.0}, u'3IA005574': {u'price': 22052.0, u'listprice': 22052.0}}",
2.42E+38,https://staticimg.titan.co.in/Tanishq/Catalog/512515DJHABAP3_2.jpg,No,NA,1,Tanishq,Jewellery,,,,NEW,1.58E+12,INR,&#8377;,Tanishq 22KT Gold and Kundan Glass Drop Earrings,,,,0,NA,This truly traditional pair of earrings uses shiny Kundan glass to exude elegance from your Indian occasion-wear.,,,,,,Female,22,Apparel & Accessories > Jewelry,,,512515DJHABAP32BA000150,FALSE,https://staticimg.titan.co.in/Tanishq/Catalog/512515DJHABAP3_1.jpg,512515DJHABAP3_P,,Colour Stones and Pearls,1.58E+12,59252,Gold,Yellow,512515DJHABAP3,512515DJHABAP32BA000150,22KT Gold and Kundan Glass Drop Earrings,Party Wear,FALSE,59252,831.14,DROP EARRING,Home > Jeweller,831.14,Active,[tanishq],Jeweller,54,,FALSE,/product/tanishq-22kt-gold-and-kundan-glass-drop-earrings-512515djhabap3,"{u'2BA000150': {u'price': 59252.0, u'listprice': 59252.0}}",
7.38E+37,https://staticimg.titan.co.in/Mia/Catalog/A14018SBOAAA00_2.jpg,No,NA,1,MIA,Jewellery,,,,NEW,1.58E+12,INR,&#8377;,Mia by Tanishq Silver Ear Studs with Enamel Coating,,,,20,NA,Girls can never stop playing dress up! A trendy pair of silver ear studs from Mia by Tanishq keeps you looking gorgeous every time you check the mirror. Pair this for that much awaited date or a Sunday brunch with the girls!.,,,,,,Female,93,Jewellery,,16 mm,A14018SBOAAA001BA000002,FALSE,https://staticimg.titan.co.in/Mia/Catalog/A14018SBOAAA00_1.jpg,A14018SBOAAA00_P,,Silver Jewellery,1.58E+12,1999,Silver,Silver,A14018SBOAAA00,A14018SBOAAA001BA000002,Mia by Tanishq Silver Ear Studs with Enamel Coating,Daily Wear,FALSE,1599,28.11,STUD EARRING,Home > Jewellery,22.48,Active,"[tanishq, mia]",Jewellery,1,,FALSE,/product/stud-earring-a14018sboaaa00,"{u'1BA000002': {u'price': 1599.0, u'listprice': 1999.0}}",16 mm
1.59E+38,https://staticimg.titan.co.in/Mia/Catalog/A14018PDUAAA00_2.jpg,No,NA,1,MIA,Jewellery,,,,NEW,1.58E+12,INR,&#8377;,Mia by Tanishq Silver Pendant with Enamel Coating,,,,20,NA,Every girl can dream of fairy tales and every girl needs at least one to come true. This gorgeous silver pendant from Mia by Tanishq reminds you of just that with an adorable pink valentine. Charm your knight in shining armour with this enchanting pendant.,,,,,,Female,93,Apparel & Accessories > Jewelry > Charms & Pendants ,,26 mm,A14018PDUAAA001BA000002,FALSE,https://staticimg.titan.co.in/Mia/Catalog/A14018PDUAAA00_1.jpg,A14018PDUAAA00_P,,Silver Jewellery,1.58E+12,2499,Silver,Silver,A14018PDUAAA00,A14018PDUAAA001BA000002,Mia by Tanishq Silver Pendant with Enamel Coating,Daily Wear,FALSE,1999,35.14,PENDANT,Home > Jewellery,28.11,Active,"[tanishq, mia]",Jewellery,2,,FALSE,/product/pendant-a14018pduaaa00,"{u'1BA000002': {u'price': 1999.0, u'listprice': 2499.0}}",20 mm
